Year,"Disabled people

Happiness 
[Note 2]

Men","Non-disabled people

Happiness 
[Note 2]

Men","Disabled people

Happiness 
[Note 2]

Women","Non-disabled people

Happiness 
[Note 2]

Women","Disabled people

Worthwhile 
[Note 3]

Men","Non-disabled people

Worthwhile 
[Note 3]

Men","Disabled people

Worthwhile 
[Note 3]

Women","Non-disabled people

Worthwhile 
[Note 3]

Women","Disabled people

Life satisfaction
[Note 4]

Men","Non-disabled people

Life satisfaction
[Note 4]

Men","Disabled people

Life satisfaction
[Note 4]

Women","Non-disabled people

Life satisfaction
[Note 4]

Women","Disabled people

Anxiety
[Note 5]

Men","Non-disabled people

Anxiety
[Note 5]

Men","Disabled people

Anxiety
[Note 5]

Women","Non-disabled people

Anxiety
[Note 5]

Women",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2013 to June 2014,6.36,7.48,6.50,7.60,6.74,7.74,7.17,8.03,6.33,7.64,6.58,7.76,3.90,2.65,4.21,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2014 to June 2015,6.51,7.56,6.50,7.66,6.85,7.81,7.23,8.10,6.51,7.74,6.63,7.86,3.77,2.54,4.17,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2015 to June 2016,6.42,7.55,6.53,7.65,6.81,7.83,7.27,8.12,6.47,7.78,6.72,7.88,3.91,2.59,4.26,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2016 to June 2017,6.50,7.60,6.59,7.72,6.87,7.85,7.28,8.16,6.52,7.80,6.77,7.93,4.02,2.60,4.35,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2017 to June 2018,6.48,7.63,6.63,7.73,6.86,7.87,7.28,8.16,6.52,7.82,6.76,7.94,3.92,2.52,4.36,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2018 to June 2019,6.51,7.68,6.57,7.74,6.87,7.90,7.25,8.17,6.54,7.86,6.79,7.95,4.00,2.51,4.46,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2019 to June 2020,6.42,7.59,6.47,7.57,6.82,7.86,7.21,8.10,6.52,7.79,6.68,7.82,4.17,2.70,4.70,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2020 to June 2021,6.37,7.54,6.45,7.56,6.75,7.74,7.13,8.01,6.38,7.58,6.51,7.60,4.32,2.77,4.72,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample size 2020/21,"5,923","23,504","10,508","30,081","5,913","23,469","10,485","30,053","5,927","23,500","10,507","30,090","5,916","23,498","10,510","30,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
